nameList,gianName,flag
"菅直人君,神崎武法君,小沢一郎君,伊藤英成君,坂口力君,野田毅君,池田元久君,枝野幸男君,古川元久君,石井啓一君,西川知雄君,谷口隆義君,鈴木淑夫君",金融再生委員会設置法の施行に伴う関係法律の整備に関する法律案,0
"菅直人君,神崎武法君,小沢一郎君,伊藤英成君,坂口力君,野田毅君,池田元久君,枝野幸男君,古川元久君,石井啓一君,西川知雄君,谷口隆義君,鈴木淑夫君",信用保証協会法等の一部を改正する法律案,0
"佐々木憲昭君,佐々木陸海君,木島日出夫君",金融機能の正常化に関する特別措置法案,0
二田孝治君,国民の祝日に関する法律の一部を改正する法律案,0
"冬柴鐵三君,中野寛成君,草川昭三君,鳩山由紀夫君,北橋健治君,堀込征雄君,小林守君,平田米男君,北側一雄君,前田正君,海江田万里君,赤羽一嘉君,上田勇君,中野清君,鍵田節哉君,冨沢篤紘君,今田保典君,中桐伸五君,生方幸夫君,並木正芳君",永住外国人に対する地方公共団体の議会の議員及び長の選挙権等の付与に関する法律案,0
中川秀直君,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,0
中川秀直君,国会議員の秘書の給与等に関する法律の一部を改正する法律案,0
"保岡興治君,大野功統君,村田吉隆君,山本幸三君",金融機能の早期健全化のための緊急措置に関する法律案,0
村井仁君,金融システム改革のための関係法律の整備等に関する法律の一部を改正する法律案,0
古賀正浩君,中小企業信用保険法の一部を改正する法律案,0
"若松謙維君,石田幸四郎君,倉田栄喜君,大口善徳君,中野清君",国家公務員法及び自衛隊法の一部を改正する法律案,0
"若松謙維君,石田幸四郎君,倉田栄喜君,大口善徳君,中野清君",特殊法人の役員等の給与等の規制に関する法律案,0
"若松謙維君,石田幸四郎君,倉田栄喜君,大口善徳君,中野清君",日本銀行法の一部を改正する法律案,0
"中川秀直君,逢沢一郎君,遠藤武彦君,御法川英文君,河本三郎君,熊代昭彦君,赤松広隆君,松沢成文君,平田米男君,井上喜一君,東中光雄君,畠山健治郎君,笹木竜三君,武村正義君",北朝鮮によるミサイル発射に抗議する決議案,0
"倉田栄喜君,桑原豊君,坂上富男君,田中慶秋君,富沢篤紘君,西田猛君,西野陽君,松本善明君,山本孝史君,若松謙維君",国家公務員の倫理の保持に関する法律案,0
"倉田栄喜君,桑原豊君,坂上富男君,田中慶秋君,富沢篤紘君,西田猛君,西野陽君,山本孝史君,若松謙維君",国会職員の倫理の保持に関する法律案,0
"倉田栄喜君,桑原豊君,坂上富男君,田中慶秋君,富沢篤紘君,西田猛君,西野陽君,山本孝史君,若松謙維君",政治倫理の確立のための国会議員の資産等の公開等に関する法律の一部を改正する法律案,0
"北村哲男君,福岡宗也君,堀込征雄君,倉田栄喜君,石井啓一君,達増拓也君",行政情報の公開に関する法律案,0
"藤村修君,山元勉君,肥田美代子君,島聡君",中高一貫教育の推進に関する法律案,0
"松本善明君,木島日出夫君",政治資金規正法の一部を改正する法律案,0
"松本善明君,木島日出夫君",政党助成法を廃止する法律案,0
"松本善明君,木島日出夫君",国の行政機関の職員等の営利企業等への就職の制限等に関する法律案,0
"松本善明君,木島日出夫君",政治倫理の確立のための国会議員の資産等の公開等に関する法律の一部を改正する法律案,0
"森山眞弓君,保岡興治君,辻元清美君,武村正義君",児童買春、児童ポルノに係る行為等の処罰及び児童の保護等に関する法律案,0
"小杉隆君,木村義雄君,濱田健一君,園田博之君",民間資金等の活用による公共施設等の整備等の促進に関する法律案,0
"保岡興治君,熊代昭彦君,渡辺喜美君,横光克彦君,園田博之君,中井洽君,達増拓也君",借地借家法の一部を改正する法律案,0
